order_index,agent,execution_name,start_ts,end_ts,duration_s,num_tool_calls,num_kb_tool_calls,num_reflections,num_findings_registered,retry_count,num_empty_retries,hit_hard_cap,input_tokens,output_tokens,cached_input_tokens,reasoning_tokens,total_tokens
0,recon,Initial recon and authentication,2026-09-03T10:22:21.544568+00:00,2026-09-03T10:25:09.863516+00:00,168.318948,20,25,1,1,0,0,False,360223,7594,248600,0,367817
1,dast,XSS test on profile and direct_messages,2026-09-03T10:25:27.393853+00:00,2026-09-03T10:25:52.759896+00:00,25.366043,2,7,0,0,0,0,False,28187,1437,19751,0,29624
2,dast,XSS test on search parameters,2026-09-03T10:25:58.017890+00:00,2026-09-03T10:26:32.948687+00:00,34.930797,3,8,0,1,0,0,False,35732,2027,25245,0,37759
3,dast,XSS test on post endpoints,2026-09-03T10:26:38.144363+00:00,2026-09-03T10:27:35.419655+00:00,57.275292,5,11,0,0,0,0,False,38181,3438,23620,0,41619
4,dast,XSS test on requests and auth endpoints,2026-09-03T10:27:41.409842+00:00,2026-09-03T10:30:15.782665+00:00,154.372823,11,18,2,1,0,0,False,372376,7335,268756,0,379711
5,dast,XSS test on settings form,2026-09-03T10:30:21.405824+00:00,2026-09-03T10:33:18.867352+00:00,177.461528,19,37,4,0,0,0,False,596051,7919,476430,0,603970
6,dast,XSS test on remaining POST endpoints,2026-09-03T10:33:26.939652+00:00,2026-09-03T10:35:42.909203+00:00,135.969551,8,25,2,4,0,0,False,390070,6799,317710,0,396869
7,exploitation,Exploitation of users search XSS,2026-09-03T10:35:56.301374+00:00,2026-09-03T10:37:35.796861+00:00,99.495487,5,10,1,1,0,0,False,109682,5469,58276,0,115151
8,exploitation,Exploitation of create_post stored XSS,2026-09-03T10:37:41.520809+00:00,2026-09-03T10:40:48.335200+00:00,186.814391,13,20,2,1,0,0,False,290111,9737,189224,0,299848
9,exploitation,Exploitation of edit_post stored XSS,2026-09-03T10:40:54.607115+00:00,2026-09-03T10:43:05.483143+00:00,130.876028,9,17,1,1,0,0,False,230760,6951,162918,0,237711
10,exploitation,Exploitation of request_friend reflected XSS,2026-09-03T10:43:11.308978+00:00,2026-09-03T10:46:39.030101+00:00,207.721123,15,24,2,1,0,0,False,456456,10841,362257,0,467297
