order_index,call_type,agent,execution_name,model_name,input_tokens,output_tokens,cached_input_tokens,reasoning_tokens,total_tokens,retry_count,has_content,tool_calls,tool_durations,ts
0,planner,,,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,2930,365,945,0,3295,0,True,[],[],2026-09-03T10:47:54.864169+00:00
1,agent,recon,Initial recon and authentication,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,3755,309,0,0,4064,0,True,"[""kb_list_dir"", ""spider"", ""spider""]","[2.088481, 6.9e-05, 0.001294]",2026-09-03T10:48:00.623977+00:00
2,agent,recon,Initial recon and authentication,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,5153,402,3751,0,5555,0,True,"[""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get""]","[1.689423, 5.2e-05, 2.6e-05, 0.00093, 2.9e-05, 1.8e-05]",2026-09-03T10:48:09.217249+00:00
3,agent,recon,Initial recon and authentication,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,8608,330,5149,0,8938,0,True,"[""http_get"", ""http_get"", ""register_credentials"", ""http_get"", ""http_get"", ""register_credentials""]","[1.253122, 3.3e-05, 1.2e-05, 0.001009, 2e-05, 1.2e-05]",2026-09-03T10:48:16.876792+00:00
4,agent,recon,Initial recon and authentication,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,9452,271,8604,0,9723,0,True,"[""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get""]","[2.18529, 7.1e-05, 3.6e-05, 4e-05, 0.001045, 4.4e-05, 1.7e-05, 3e-05]",2026-09-03T10:48:22.616742+00:00
5,agent,recon,Initial recon and authentication,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,17781,264,9448,0,18045,0,True,"[""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get""]","[2.167485, 7.2e-05, 5.4e-05, 3e-05, 0.001222, 5.3e-05, 3e-05, 1.8e-05]",2026-09-03T10:48:31.487500+00:00
6,agent,recon,Initial recon and authentication,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,25657,326,17777,0,25983,0,True,"[""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get"", ""http_get""]","[3.202643, 7.4e-05, 5.5e-05, 0.00121, 4.5e-05, 3.4e-05]",2026-09-03T10:48:41.167466+00:00
7,agent,recon,Initial recon and authentication,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,33891,67,25653,0,33958,0,True,"[""kb_list_dir""]",[0.005116],2026-09-03T10:48:48.496485+00:00
8,agent,recon,Initial recon and authentication,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,33959,1677,33887,0,35636,0,True,"[""register_finding""]",[0.005907],2026-09-03T10:49:14.379813+00:00
9,reflect,recon,Initial recon and authentication,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,33341,875,0,0,34216,0,True,[],[],2026-09-03T10:49:38.053620+00:00
10,agent,recon,Initial recon and authentication,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,36280,1389,0,0,37669,0,True,[],[],2026-09-03T10:50:10.668740+00:00
11,planner,,,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,3805,86,2926,0,3891,0,True,[],[],2026-09-03T10:50:12.702026+00:00
12,planner,,,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,5501,606,3801,0,6107,0,True,[],[],2026-09-03T10:50:21.815038+00:00
13,agent,dast,DAST on GET query parameters for XSS,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,3436,187,0,0,3623,0,True,"[""kb_list_dir"", ""kb_list_dir"", ""kb_list_dir""]","[0.007367, 3.2e-05, 0.000457]",2026-09-03T10:50:25.934415+00:00
14,agent,dast,DAST on GET query parameters for XSS,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,3606,108,3432,0,3714,0,True,"[""kb_get"", ""kb_get""]","[0.004732, 4.3e-05]",2026-09-03T10:50:27.958656+00:00
15,agent,dast,DAST on GET query parameters for XSS,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,5639,73,3602,0,5712,0,True,"[""login"", ""login""]","[0.086904, 0.000972]",2026-09-03T10:50:29.853541+00:00
16,agent,dast,DAST on GET query parameters for XSS,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,5793,173,5635,0,5966,0,True,"[""http_get"", ""http_get""]","[0.538709, 0.000956]",2026-09-03T10:50:32.848756+00:00
17,agent,dast,DAST on GET query parameters for XSS,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,7709,155,5789,0,7864,0,True,"[""http_get"", ""http_get""]","[0.544207, 0.001076]",2026-09-03T10:50:36.394896+00:00
18,agent,dast,DAST on GET query parameters for XSS,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,10061,650,7705,0,10711,0,True,"[""http_get"", ""http_get""]","[0.538138, 0.001024]",2026-09-03T10:50:47.152684+00:00
19,agent,dast,DAST on GET query parameters for XSS,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,12519,257,10057,0,12776,0,True,"[""http_get"", ""http_get""]","[0.537431, 0.001092]",2026-09-03T10:50:52.515179+00:00
20,agent,dast,DAST on GET query parameters for XSS,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,14631,432,12515,0,15063,0,True,"[""register_finding""]",[0.005542],2026-09-03T10:51:00.247830+00:00
21,reflect,dast,DAST on GET query parameters for XSS,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,13149,392,0,0,13541,0,True,[],[],2026-09-03T10:51:10.095193+00:00
22,agent,dast,DAST on GET query parameters for XSS,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,15327,597,0,0,15924,0,True,"[""register_finding""]",[0.006001],2026-09-03T10:51:23.623384+00:00
23,agent,dast,DAST on GET query parameters for XSS,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,15691,100,15323,0,15791,0,True,"[""http_get"", ""http_get""]","[0.560854, 0.001481]",2026-09-03T10:51:25.707813+00:00
24,agent,dast,DAST on GET query parameters for XSS,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,17747,167,15687,0,17914,0,True,"[""http_get"", ""http_get""]","[0.537486, 0.001109]",2026-09-03T10:51:29.665084+00:00
25,agent,dast,DAST on GET query parameters for XSS,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,19948,816,17743,0,20764,0,True,[],[],2026-09-03T10:51:43.139208+00:00
26,planner,,,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,6246,427,5497,0,6673,0,True,[],[],2026-09-03T10:51:49.799720+00:00
27,agent,dast,DAST on POST form fields for XSS,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,3503,172,0,0,3675,0,True,"[""kb_get"", ""kb_list_dir"", ""kb_list_dir""]","[0.005834, 0.000623, 2.8e-05]",2026-09-03T10:51:53.719595+00:00
28,agent,dast,DAST on POST form fields for XSS,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,3965,133,3499,0,4098,0,False,"[""kb_get"", ""kb_get"", ""kb_get""]","[0.006456, 0.000667, 0.000289]",2026-09-03T10:51:56.189588+00:00
29,agent,dast,DAST on POST form fields for XSS,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,6178,124,3961,0,6302,0,True,"[""login"", ""login""]","[0.124566, 0.001329]",2026-09-03T10:51:59.018674+00:00
30,agent,dast,DAST on POST form fields for XSS,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,6381,193,6174,0,6574,0,True,"[""http_post"", ""http_post""]","[0.576594, 0.000936]",2026-09-03T10:52:02.376092+00:00
31,agent,dast,DAST on POST form fields for XSS,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,9588,497,6377,0,10085,0,True,"[""http_post"", ""http_post""]","[0.566151, 0.00126]",2026-09-03T10:52:11.161297+00:00
32,agent,dast,DAST on POST form fields for XSS,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,10280,307,9584,0,10587,0,True,"[""http_post"", ""http_post""]","[0.54043, 0.000987]",2026-09-03T10:52:16.708883+00:00
33,agent,dast,DAST on POST form fields for XSS,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,10678,104,10276,0,10782,0,True,"[""http_get"", ""http_get""]","[0.543397, 0.001191]",2026-09-03T10:52:19.343997+00:00
34,agent,dast,DAST on POST form fields for XSS,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,12460,148,10674,0,12608,0,True,"[""http_post"", ""http_post""]","[0.541477, 0.001039]",2026-09-03T10:52:22.868822+00:00
35,reflect,dast,DAST on POST form fields for XSS,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,11224,807,0,0,12031,0,True,[],[],2026-09-03T10:52:38.435489+00:00
36,agent,dast,DAST on POST form fields for XSS,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,13412,263,1455,0,13675,0,True,"[""http_post"", ""http_post""]","[0.5703, 0.001525]",2026-09-03T10:52:46.232623+00:00
37,agent,dast,DAST on POST form fields for XSS,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,14028,459,13408,0,14487,0,True,"[""http_post"", ""http_post""]","[0.543721, 0.001067]",2026-09-03T10:52:53.979152+00:00
38,agent,dast,DAST on POST form fields for XSS,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,14670,387,14024,0,15057,0,True,"[""http_post"", ""http_post""]","[0.549246, 0.001183]",2026-09-03T10:53:00.674906+00:00
39,agent,dast,DAST on POST form fields for XSS,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,17592,400,14666,0,17992,0,True,"[""logout"", ""logout""]","[0.114114, 0.001607]",2026-09-03T10:53:08.280045+00:00
40,agent,dast,DAST on POST form fields for XSS,unsloth/Qwen3.6-35B-A3B-GGUF:UD-Q4_K_M,17766,140,17588,0,17906,0,True,"[""http_post"", ""http_post""]","[0.550018, 0.001143]",2026-09-03T10:53:10.976261+00:00
