run_id,order_index,agent,execution_name,start_ts,end_ts,duration_s,num_tool_calls,num_kb_tool_calls,num_reflections,num_findings_registered,retry_count,num_empty_retries,hit_hard_cap,input_tokens,output_tokens,cached_input_tokens,reasoning_tokens,total_tokens
20260901-1452-0001,0,recon,Initial recon and authentication,2026-09-01T14:53:15.243119+00:00,2026-09-01T14:55:12.863342+00:00,117.620223,16,19,1,1,0,0,False,187354,5189,110677,0,192543
20260901-1452-0001,1,dast,DAST GET endpoints batch 1,2026-09-01T14:55:27.999210+00:00,2026-09-01T14:56:23.585280+00:00,55.58607,4,13,1,3,0,0,False,101289,2736,70643,0,104025
20260901-1452-0001,2,dast,DAST GET endpoints batch 2,2026-09-01T14:56:29.251832+00:00,2026-09-01T14:58:13.367307+00:00,104.115475,9,21,1,4,0,0,False,150329,5558,104424,0,155887
20260901-1452-0001,3,dast,DAST GET and POST endpoints batch 3,2026-09-01T14:58:21.380228+00:00,2026-09-01T15:02:26.914208+00:00,245.53398,19,38,3,7,0,0,False,675595,12099,548889,0,687694
20260901-1452-0001,4,exploitation,Exploitation of all SQLi vulnerabilities,2026-09-01T15:02:41.164011+00:00,2026-09-01T15:15:43.739639+00:00,782.575628,72,91,4,1,0,0,False,2672387,27131,2186989,0,2699518
20260901-1516-0002,0,recon,Initial recon and authentication,2026-09-01T15:17:17.003239+00:00,2026-09-01T15:19:38.343600+00:00,141.340361,17,20,1,1,0,0,False,291447,6869,223941,0,298316
20260901-1516-0002,1,dast,DAST query parameter endpoints,2026-09-01T15:19:50.141005+00:00,2026-09-01T15:20:46.790863+00:00,56.649858,8,19,0,6,0,0,False,62018,3139,45884,0,65157
20260901-1516-0002,2,dast,DAST search and content parameters,2026-09-01T15:20:54.607954+00:00,2026-09-01T15:22:36.502629+00:00,101.894675,10,20,1,5,0,0,False,139447,4851,66483,0,144298
20260901-1516-0002,3,dast,DAST settings form fields,2026-09-01T15:23:10.200771+00:00,2026-09-01T15:24:01.297478+00:00,51.096707,6,12,0,0,0,0,False,42265,2863,25316,0,45128
20260901-1516-0002,4,exploitation,Exploitation of profile username SQLi,2026-09-01T15:24:16.185469+00:00,2026-09-01T15:27:21.613807+00:00,185.428338,31,35,1,1,0,0,False,483818,7296,336309,0,491114
20260901-1516-0002,5,exploitation,Exploitation of remaining SQLi endpoints,2026-09-01T15:27:29.521340+00:00,2026-09-01T15:35:59.266388+00:00,509.745048,51,76,2,10,0,0,False,1400699,19303,1051000,0,1420002
20260901-1537-0003,0,recon,Initial recon and authentication,2026-09-01T15:37:32.971805+00:00,2026-09-01T15:39:26.229120+00:00,113.257315,16,16,1,0,0,0,False,164117,4331,71248,0,168448
20260901-1537-0003,1,dast,DAST on profile friends requests direct_messages SQLi,2026-09-01T15:39:55.146949+00:00,2026-09-01T15:42:22.687013+00:00,147.540064,17,31,2,4,0,0,False,379031,5939,266015,0,384970
20260901-1537-0003,2,dast,DAST on users messages posts friends_search SQLi,2026-09-01T15:42:27.977872+00:00,2026-09-01T15:44:21.037244+00:00,113.059372,10,21,1,2,0,0,False,148994,5825,110559,0,154819
20260901-1537-0003,3,dast,DAST on POST endpoints login signup create_post edit_post SQLi,2026-09-01T15:44:27.468447+00:00,2026-09-01T15:48:53.226323+00:00,265.757876,22,42,3,1,0,0,False,744583,11291,569665,0,755874
20260901-1537-0003,4,dast,DAST on remaining POST endpoints settings direct_messages friends SQLi,2026-09-01T15:48:58.453461+00:00,2026-09-01T15:52:36.812973+00:00,218.359512,25,48,3,3,0,0,False,640707,8957,492299,0,649664
20260901-1537-0003,5,exploitation,Exploitation SQLi data extraction admin password,2026-09-01T15:52:59.793807+00:00,2026-09-01T15:57:20.407648+00:00,260.613841,29,36,2,1,0,0,False,600162,10066,404200,0,610228
20260902-2013-0001,0,recon,Initial recon and authentication setup,2026-09-02T20:13:58.697671+00:00,2026-09-02T20:15:48.648030+00:00,109.950359,7,12,1,1,0,0,False,162318,5720,118554,0,168038
20260902-2013-0001,1,dast,DAST on username parameter endpoints,2026-09-02T20:15:59.409420+00:00,2026-09-02T20:16:41.146803+00:00,41.737383,4,11,0,3,0,0,False,55623,2322,44503,0,57945
20260902-2013-0001,2,dast,DAST on search parameter endpoints,2026-09-02T20:16:45.784865+00:00,2026-09-02T20:18:07.726134+00:00,81.941269,4,15,1,2,0,0,False,93415,4511,57351,0,97926
20260902-2013-0001,3,dast,DAST on id parameter endpoints,2026-09-02T20:18:11.964881+00:00,2026-09-02T20:18:59.690815+00:00,47.725934,5,12,0,2,0,0,False,55286,2687,41046,0,57973
