run_id,name,target,status,started_at,ended_at,duration_s,num_agent_invocations,invocation_sequence,total_llm_calls,total_tool_calls,total_kb_findings_registered,total_reflections,total_retries,num_hit_hard_cap,total_input_tokens,total_output_tokens,total_cached_input_tokens,total_reasoning_tokens,total_tokens,num_findings
20260901-1452-0001,SQLi #1,http://www.hackergram.com,completed,2026-09-01T14:52:55.710636+00:00,2026-09-01T15:16:47.507510+00:00,1431.796874,5,"recon,dast,dast,dast,exploitation",106,120,16,10,0,0,3839586,60083,3063893,0,3899669,15
20260901-1516-0002,SQLi #2,http://www.hackergram.com,completed,2026-09-01T15:16:57.094565+00:00,2026-09-01T15:37:04.250954+00:00,1207.156389,6,"recon,dast,dast,dast,exploitation,exploitation",93,123,23,5,0,0,2591267,53619,1903290,0,2644886,11
20260901-1537-0003,SQLi #3,http://www.hackergram.com,completed,2026-09-01T15:37:13.630464+00:00,2026-09-01T15:58:10.360945+00:00,1256.730481,6,"recon,dast,dast,dast,dast,exploitation",143,119,11,12,0,0,2860695,53876,2079340,0,2914571,12
20260902-2013-0001,SQLi #4,http://www.hackergram.com,completed,2026-09-02T20:13:38.305190+00:00,2026-09-02T20:28:06.082932+00:00,867.777742,7,"recon,dast,dast,dast,dast,dast,exploitation",107,70,17,7,0,0,1740450,44027,1387551,0,1784477,16
20260902-2028-0002,SQLi #5,http://www.hackergram.com,completed,2026-09-02T20:28:19.194532+00:00,2026-09-02T20:44:10.073178+00:00,950.878646,4,"recon,dast,dast,exploitation",71,94,29,5,0,0,1876438,44517,1457774,0,1920955,15
20260902-2044-0003,SQLi #6,http://www.hackergram.com,completed,2026-09-02T20:44:26.093740+00:00,2026-09-02T21:25:14.728605+00:00,2448.634865,15,"recon,dast,dast,dast,dast,dast,dast,dast,dast,dast,dast,dast,dast,dast,exploitation",230,213,19,16,0,0,6179522,106939,4923865,0,6286461,11
20260902-2158-0001,SQLi #7,http://www.hackergram.com,completed,2026-09-02T21:58:03.671271+00:00,2026-09-02T22:19:03.512159+00:00,1259.840888,5,"recon,dast,dast,dast,exploitation",118,112,21,12,0,0,3246445,58552,2551997,0,3304997,11
20260902-2219-0002,SQLi #8,http://www.hackergram.com,completed,2026-09-02T22:19:14.216816+00:00,2026-09-02T22:42:39.473262+00:00,1405.256446,8,"recon,dast,dast,dast,dast,dast,exploitation,exploitation",148,149,13,11,0,0,3810113,63159,2981892,0,3873272,11
20260902-2242-0003,SQLi #9,http://www.hackergram.com,completed,2026-09-02T22:42:56.343657+00:00,2026-09-02T23:12:55.895762+00:00,1799.552105,6,"recon,dast,dast,dast,exploitation,exploitation",134,151,12,13,0,0,4335812,87234,3446966,0,4423046,10
20260902-2313-0004,SQLi #10,http://www.hackergram.com,completed,2026-09-02T23:13:12.129259+00:00,2026-09-02T23:33:36.208810+00:00,1224.079551,7,"recon,dast,dast,dast,dast,dast,exploitation",149,107,21,12,0,0,3455221,57547,2779959,0,3512768,18
20260903-0634-0005,XSS #1,http://www.hackergram.com,completed,2026-09-03T06:34:37.651798+00:00,2026-09-03T06:57:37.807640+00:00,1380.155842,7,"recon,dast,dast,dast,dast,dast,exploitation",170,98,15,13,0,0,2914736,70845,2359110,0,2985581,6
20260903-0657-0006,XSS #2,http://www.hackergram.com,completed,2026-09-03T06:57:51.617337+00:00,2026-09-03T07:24:52.095951+00:00,1620.478614,9,"recon,dast,dast,dast,dast,exploitation,exploitation,exploitation,exploitation",188,94,9,14,0,0,2878367,88205,2228465,0,2966572,4
20260903-0725-0007,XSS #3,http://www.hackergram.com,completed,2026-09-03T07:25:02.403312+00:00,2026-09-03T08:00:41.765558+00:00,2139.362246,7,"recon,dast,dast,dast,exploitation,exploitation,exploitation",141,99,14,12,0,0,2536319,87559,1908312,0,2623878,7
20260903-0800-0008,XSS #4,http://www.hackergram.com,completed,2026-09-03T08:00:57.505024+00:00,2026-09-03T08:28:37.282762+00:00,1659.777738,9,"recon,dast,dast,dast,dast,dast,exploitation,exploitation,exploitation",184,116,10,14,0,0,3015467,89613,2320151,0,3105080,3
20260903-0828-0009,XSS #5,http://www.hackergram.com,completed,2026-09-03T08:28:51.426743+00:00,2026-09-03T09:18:11.006771+00:00,2959.580028,12,"recon,dast,dast,dast,dast,dast,exploitation,exploitation,exploitation,exploitation,exploitation,exploitation",281,173,16,27,0,0,5268328,138815,4176248,0,5407143,5
20260903-0918-0010,XSS #6,http://www.hackergram.com,failed,2026-09-03T09:18:24.891596+00:00,2026-09-03T09:42:36.105013+00:00,1451.213417,6,"recon,dast,dast,dast,dast,dast",100,71,5,7,0,0,1519642,47234,1125741,0,1566876,0
20260903-0942-0011,XSS #7,http://www.hackergram.com,completed,2026-09-03T09:42:46.141202+00:00,2026-09-03T10:21:53.665886+00:00,2347.524684,11,"recon,dast,dast,dast,dast,exploitation,exploitation,exploitation,exploitation,exploitation,exploitation",269,169,9,26,0,0,5319561,120012,4180218,0,5439573,6
20260903-1022-0012,XSS #8,http://www.hackergram.com,completed,2026-09-03T10:22:01.791122+00:00,2026-09-03T10:47:26.544391+00:00,1524.753269,11,"recon,dast,dast,dast,dast,dast,dast,exploitation,exploitation,exploitation,exploitation",187,110,11,15,0,0,3057026,78077,2282987,0,3135103,4
20260903-1047-0013,XSS #9,http://www.hackergram.com,completed,2026-09-03T10:47:35.940819+00:00,2026-09-03T11:21:28.469002+00:00,2032.528183,6,"recon,dast,dast,dast,exploitation,exploitation",135,101,5,13,0,0,2492546,94038,1961213,0,2586584,2
20260903-1121-0014,XSS #10,http://www.hackergram.com,completed,2026-09-03T11:21:36.760033+00:00,2026-09-03T11:49:19.584934+00:00,1662.824901,10,"recon,dast,dast,dast,dast,exploitation,exploitation,exploitation,exploitation,exploitation",191,147,11,15,0,0,3470537,82749,2559883,0,3553286,5
